OrderID,Date,Country,Device,Item_Detail,Unitprice,Quantity,Sales
20180001,1/4/2018,Canada,Mobile,Beverage,200,207,41400
20180002,1/5/2018,Canada,Desktop,Frozen Food,330,349,115170
20180003,1/5/2018,Australia,Mobile,Dried Food,450,316,142200
20180004,1/6/2018,Australia,Desktop,Canned Food,500,307,153500
20180005,1/6/2018,Canada,Tablet,Beverage,200,118,23600
20180006,1/6/2018,Australia,Mobile,Dried Food,450,217,97650
20180007,1/6/2018,Thailand,Desktop,Canned Food,500,384,192000
20180008,1/7/2018,Australia,Desktop,Frozen Food,330,111,36630
20180009,1/7/2018,Australia,Mobile,Beverage,200,367,73400
20180010,1/7/2018,Canada,Mobile,Canned Food,500,178,89000
20180011,1/8/2018,Australia,Desktop,Canned Food,500,186,93000
20180012,1/8/2018,Canada,Mobile,Beverage,200,163,32600
20180013,1/8/2018,Canada,Desktop,Canned Food,500,388,194000
20180014,1/9/2018,Canada,Tablet,Canned Food,500,492,246000
20180015,1/9/2018,Thailand,Tablet,Dried Food,450,413,185850
20180016,1/10/2018,USA,Mobile,Canned Food,500,450,225000
20180017,1/10/2018,Canada,Mobile,Canned Food,500,306,153000
20180018,1/10/2018,Thailand,Desktop,Canned Food,500,265,132500
20180019,1/10/2018,Canada,Tablet,Frozen Food,330,283,93390
20180020,1/11/2018,USA,Desktop,Canned Food,500,238,119000
20180021,1/11/2018,Canada,Tablet,Canned Food,500,212,106000
20180022,1/11/2018,Thailand,Desktop,Dried Food,450,159,71550
20180023,1/11/2018,Thailand,Tablet,Frozen Food,330,493,162690
20180024,1/11/2018,Australia,Tablet,Dried Food,450,278,125100
20180025,1/12/2018,Thailand,Mobile,Dried Food,450,185,83250
20180026,1/12/2018,Canada,Mobile,Beverage,200,351,70200
20180027,1/12/2018,Canada,Mobile,Frozen Food,330,175,57750
20180028,1/12/2018,USA,Mobile,Frozen Food,330,340,112200
20180029,1/12/2018,USA,Tablet,Beverage,200,488,97600
20180030,1/12/2018,Canada,Mobile,Beverage,200,320,64000
20180031,1/13/2018,Canada,Mobile,Canned Food,500,376,188000
20180032,1/14/2018,Australia,Mobile,Beverage,200,353,70600
20180033,1/14/2018,Canada,Tablet,Canned Food,500,358,179000
20180034,1/15/2018,USA,Desktop,Frozen Food,330,369,121770
20180035,1/16/2018,Australia,Tablet,Beverage,200,203,40600
20180036,1/16/2018,Australia,Mobile,Beverage,200,148,29600
20180037,1/17/2018,Australia,Desktop,Dried Food,450,184,82800
20180038,1/17/2018,Thailand,Desktop,Dried Food,450,315,141750
20180039,1/17/2018,Australia,Mobile,Dried Food,450,281,126450
20180040,1/18/2018,Thailand,Tablet,Dried Food,450,292,131400
20180041,1/19/2018,Canada,Mobile,Canned Food,500,448,224000
20180042,1/19/2018,Canada,Tablet,Frozen Food,330,234,77220
20180043,1/19/2018,Australia,Tablet,Canned Food,500,380,190000
20180044,1/20/2018,Thailand,Mobile,Canned Food,500,349,174500
20180045,1/20/2018,Australia,Tablet,Canned Food,500,384,192000
20180046,1/20/2018,Canada,Tablet,Canned Food,500,212,106000
20180047,1/20/2018,Thailand,Mobile,Dried Food,450,500,225000
20180048,1/20/2018,Australia,Mobile,Frozen Food,330,390,128700
20180049,1/21/2018,Australia,Mobile,Beverage,200,358,71600
20180050,1/21/2018,USA,Desktop,Dried Food,450,498,224100
20180051,1/21/2018,USA,Desktop,Dried Food,450,409,184050
20180052,1/22/2018,USA,Mobile,Canned Food,500,135,67500
